Province/Territory,Program Stream,Employer,Address,Occupation,Incorporate Status,Approved LMIAs,Approved Positions,NOC Code
Ontario,Permanent Resident Only,Jap Gobind Transport Ltd.,"Caledon,  ON L7E 1G9","Supervisors, motor transport and other ground transit operators",Unknown,1,1,7305
Ontario,Permanent Resident Only,Jas Boyal Management Inc.,"Mississauga,  ON L5C 3A6",Retail sales supervisors,Unknown,3,3,6211
Ontario,Permanent Resident Only,Jay Mama Enterprise Inc,"Sutton West,  ON L0E 1R0",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,Jbv Foods Albion Ltd.,"Etobicoke,  ON M9V 5H5",Food service supervisors,Unknown,1,2,6311
Ontario,Permanent Resident Only,Jenco Canada Inc,"Brampton,  ON L6T 3W4","Senior managers - financial, communications and other business services",Unknown,1,1,0013
Ontario,Permanent Resident Only,Jg Group Inc.,"Mississauga,  ON L5T 1E7",Human resources professionals,Unknown,1,1,1121
Ontario,Permanent Resident Only,Jg Group Inc.,"Mississauga,  ON L5T 1E7","Professional occupations in advertising, marketing and public relations",Unknown,1,1,1123
Ontario,Permanent Resident Only,Jg Group Inc.,"Mississauga,  ON L5T 1E7","Supervisors, general office and administrative support workers",Unknown,2,2,1211
Ontario,Permanent Resident Only,Jg Group Inc.,"Mississauga,  ON L5T 1E7",Records management technicians,Unknown,1,1,1253
Ontario,Permanent Resident Only,Jg Group Inc.,"Mississauga,  ON L5T 1E7",Payroll clerks,Unknown,1,1,1432
Ontario,Permanent Resident Only,Jg Group Inc.,"Mississauga,  ON L5T 1E7",Business development officers and marketing researchers and consultants,Unknown,1,1,4163
Ontario,Permanent Resident Only,J-Line Auto Sales Inc.,"Brantford,  ON N3T 0N3",Retail sales supervisors,Unknown,1,1,6211
Ontario,Permanent Resident Only,Jmd Corporation,"Mississauga,  ON L5S 1Y9","Supervisors, supply chain, tracking and scheduling co-ordination occupations",Unknown,1,1,1215
Ontario,Permanent Resident Only,Jmd Corporation,"Mississauga,  ON L5S 1Y9",Administrative officers,Unknown,1,1,1221
Ontario,Permanent Resident Only,Jmd Corporation,"Mississauga,  ON L5S 1Y9",Production logistics co-ordinators,Unknown,1,1,1523
Ontario,Permanent Resident Only,Jmd Food Services Inc.,"Mississauga,  ON L5V 1X7",Food service supervisors,Unknown,2,2,6311
Ontario,Permanent Resident Only,John Street Donuts Inc.,"Markham,  ON L3R 5R7",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,Juno Tech Consulting Inc.,"Brantford,  ON N3T 6P9",Administrative assistants,Unknown,1,1,1241
Ontario,Permanent Resident Only,Just Ask Immigration Services Inc.,"Mississauga,  ON L4W 0A5",Administrative assistants,Unknown,1,1,1241
Ontario,Permanent Resident Only,Kalra M. International Inc.,"Burlington,  ON L7L 6W6",Administrative assistants,Unknown,1,1,1241
Ontario,Permanent Resident Only,Kan Immigration Services Inc.,"Kitchener,  ON N2H 1C6",Administrative officers,Unknown,1,1,1221
Ontario,Permanent Resident Only,Kathco Foods Inc,"Thornhill,  ON L4J 3N1",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,Keljoss Inc,"Ottawa,  ON K1G 1A2",Restaurant and food service managers,Unknown,1,1,0631
Ontario,Permanent Resident Only,Keljoss Inc,"Ottawa,  ON K1G 1A2",Food service supervisors,Unknown,3,3,6311
Ontario,Permanent Resident Only,Kesari Investment Inc.,"Burlington,  ON L7L 5P9",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,King Realty Inc,"Brampton,  ON L6W 4P9","Senior managers - financial, communications and other business services",Unknown,1,1,0013
Ontario,Permanent Resident Only,King Riders Logix Inc.,"Milton,  ON L9T 4W9",Accounting technicians and bookkeepers,Unknown,1,1,1311
Ontario,Permanent Resident Only,Kjs Transport Inc,"Brampton,  ON L6T 1G4",Managers in transportation,Unknown,1,1,0731
Ontario,Permanent Resident Only,Kps Enterprises Inc.,"Huntsville,  ON P1H 1M4",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,Krupenia & Schindler Immigration Consulting Inc,"North York,  ON M3J 3J4",Web designers and developers,Unknown,1,1,2175
Ontario,Permanent Resident Only,Ks Sherbourne Inc,"Toronto,  ON M4W 3J6",Cooks,Unknown,1,1,6322
Ontario,Permanent Resident Only,Kuber Services Inc.,"Hamilton,  ON L8E 1H9",Restaurant and food service managers,Unknown,1,1,0631
Ontario,Permanent Resident Only,Kudos Workforce Inc.,"Vaughan,  ON L4L 4A3","Senior managers - financial, communications and other business services",Unknown,1,1,0013
Ontario,Permanent Resident Only,La Pizzato Inc,"Brantford,  ON N3P 1N7",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,Laar Foods Ltd,"Hamilton,  ON L9C 3B3",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,Lago Marina Inc.,"Etobicoke,  ON M8V 4G1",Cooks,Unknown,1,1,6322
Ontario,Permanent Resident Only,Landlord Web Solutions,"St. Catharines,  ON L2T 1K1",User support technicians,Unknown,1,1,2282
Ontario,Permanent Resident Only,Langar Seva Meal & Support Services,"Brampton,  ON L6T 4L6",Administrative officers,Unknown,1,1,1221
Ontario,Permanent Resident Only,Ld Machine Works Limited,"Bolton,  ON L7E 3B5",Administrative officers,Unknown,1,1,1221
Ontario,Permanent Resident Only,Leather Living Furniture Inc.,"Mississauga,  ON L5S 1S4",Cabinetmakers,Unknown,1,1,7272
Ontario,Permanent Resident Only,Little Tots' Manor Inc.,"Toronto,  ON M4S 1M3",Early childhood educators and assistants,Unknown,1,1,4214
Ontario,Permanent Resident Only,Lk Bros Transport Inc.,"Brampton,  ON L6Y 0L6",Administrative officers,Unknown,1,1,1221
Ontario,Permanent Resident Only,Lm Khalil Inc.,"Kitchener,  ON N2M 3C7",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,Lmk Foods Incorporated,"Toronto,  ON M1T 1A1",Restaurant and food service managers,Unknown,1,1,0631
Ontario,Permanent Resident Only,Lmk Foods Incorporated,"Toronto,  ON M1T 1A1",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,Logismart Inc.,"Kitchener,  ON N2A 1T4",Accounting technicians and bookkeepers,Unknown,1,2,1311
Ontario,Permanent Resident Only,Loyalty Vending Inc.,"Mississauga,  ON L4W 2W6",Human resources professionals,Unknown,1,1,1121
Ontario,Permanent Resident Only,M&D De Ciantis Enterprises Inc.,"Concord,  ON L4K 4E4",Administrative officers,Unknown,1,1,1221
Ontario,Permanent Resident Only,Maa Umiya Dham Inc.,"Ingleside,  ON K0C 1M0",Restaurant and food service managers,Unknown,1,1,0631
Ontario,Permanent Resident Only,Mama Coffee Company Inc,"Sarnia,  ON N7S 5B6",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,Mapco (Pvt) Ltd.,"Trenton,  ON K8V 5P6",Administrative assistants,Unknown,1,1,1241
Ontario,Permanent Resident Only,Mastercraft Management Corporation,"Ottawa,  ON K1S 5V3",Accounting technicians and bookkeepers,Unknown,1,1,1311
Ontario,Permanent Resident Only,Mastermind Montessori Schools Inc.,"Markham,  ON L6C 0G6",Early childhood educators and assistants,Unknown,1,1,4214
Ontario,Permanent Resident Only,Matrex Window System Inc.,"Vaughan,  ON L4K 4Y5","Supervisors, other products manufacturing and assembly",Unknown,1,1,9227
Ontario,Permanent Resident Only,Mayfield Technology Group Inc,"North York,  ON M3J 3J7",User support technicians,Unknown,1,1,2282
Ontario,Permanent Resident Only,Mcjfc Food Enterprises Ltd.,"Mississauga,  ON L5T 2X6",Food service supervisors,Unknown,3,3,6311
Ontario,Permanent Resident Only,Messini Gyros & Souvlaki Ltd.,"Toronto,  ON M4K 1P1",Cooks,Unknown,1,1,6322
Ontario,Permanent Resident Only,Metropolitan Movers Inc.,"Concord,  ON L4K 1G5",Managers in transportation,Unknown,1,1,0731
Ontario,Permanent Resident Only,Mikael Enterprises Inc,"Mississauga,  ON L5S 1V4",Administrative assistants,Unknown,1,1,1241
Ontario,Permanent Resident Only,Mike'S Pizza & Donair,"London,  ON N5V 2S3",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,Millhouse Resthome Inc,"Acton,  ON L7J 1G4","Nurse aides, orderlies and patient service associates",Unknown,1,1,3413
Ontario,Permanent Resident Only,Mississauga Community Khalsa School Inc.,"Mississauga,  ON L4T 2H3",Administrative officers,Unknown,1,1,1221
Ontario,Permanent Resident Only,Mississauga Transportation Resources Inc.,"Mississauga,  ON L5T 1H9",Administrative officers,Unknown,1,1,1221
Ontario,Permanent Resident Only,Mmm Tim'S Inc.,"Hamilton,  ON L8S 3B9",Restaurant and food service managers,Unknown,1,1,0631
Ontario,Permanent Resident Only,Mohi Dentistry Professional Co,"Brampton,  ON L6R 3X1",Medical administrative assistants,Unknown,1,1,1243
Ontario,Permanent Resident Only,Mortgage Squad Inc.,"Vaughan,  ON L4K 5K8",Administrative assistants,Unknown,1,1,1241
Ontario,Permanent Resident Only,Multiplay Wholesale Inc.,"Brampton,  ON L6T 4K9",Accounting technicians and bookkeepers,Unknown,1,1,1311
Ontario,Permanent Resident Only,Mundair Consulting Ltd.,"Guelph,  ON N1L 0N4",Computer programmers and interactive media developers,Unknown,1,1,2174
Ontario,Permanent Resident Only,Naan And Kabob,"Mississauga,  ON L4Z 3K8",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,Namo Kali Inc.,"Haliburton,  ON K0M 1S0",Restaurant and food service managers,Unknown,1,1,0631
Ontario,Permanent Resident Only,Nanak Auto Collision Inc.,"Toronto,  ON M9V 1C2",Administrative assistants,Unknown,1,1,1241
Ontario,Permanent Resident Only,Nanak Holdings Inc.,"Scarborough,  ON M1S 3E6",Administrative assistants,Unknown,1,1,1241
Ontario,Permanent Resident Only,National Engineered Fasteners Inc,"Breslau,  ON N0B 1M0",Technical sales specialists - wholesale trade,Unknown,1,1,6221
Ontario,Permanent Resident Only,Nature Immigration Services Inc.,"Brampton,  ON L6X 0Z9",Administrative assistants,Unknown,1,1,1241
Ontario,Permanent Resident Only,Nav & Arsh Designs Inc.,"Brampton,  ON L6P 2V7",Retail sales supervisors,Unknown,1,1,6211
Ontario,Permanent Resident Only,Nexway Immigration Services,"Brampton,  ON L6W 3W8",Administrative assistants,Unknown,1,1,1241
Ontario,Permanent Resident Only,Nimita Management Company Inc.,"Ancaster,  ON L9G 0G4",Administrative assistants,Unknown,1,1,1241
Ontario,Permanent Resident Only,Nina & Bill'S Variety Inc.,"Shelburne,  ON L9V 2Z2",Retail sales supervisors,Unknown,1,1,6211
Ontario,Permanent Resident Only,Nishan Holdings Ltd.,"Brampton,  ON L6R 0W3",Administrative assistants,Unknown,1,1,1241
Ontario,Permanent Resident Only,Nitin Enterprise Inc.,"Orillia,  ON L3V 5X8",Food service supervisors,Unknown,1,2,6311
Ontario,Permanent Resident Only,Nordic Shipping Canada Ltd,"Brampton,  ON L6S 3L9",Administrative assistants,Unknown,1,1,1241
Ontario,Permanent Resident Only,Norm-Way Hospitality Inc.,"Waterdown,  ON L8B 0E5",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,"North America Electrical Energy Equipments Co., Ltd","Bolton,  ON L7E 1Y1","Supervisors, other mechanical and metal products manufacturing",Unknown,1,1,9226
Ontario,Permanent Resident Only,Northland Fulfilment Inc,"Toronto,  ON M9W 0B6","Supervisors, supply chain, tracking and scheduling co-ordination occupations",Unknown,1,1,1215
Ontario,Permanent Resident Only,Nova Life Immigration Services Inc.,"Mississauga,  ON L4Y  2C",Administrative officers,Unknown,1,1,1221
Ontario,Permanent Resident Only,Nu-Way Personnel Inc.,"Brampton,  ON L6W 2C3",Administrative assistants,Unknown,2,2,1241
Ontario,Permanent Resident Only,Om Lakshminarayan Ontario Inc.,"Oshawa,  ON L1G 1Z7",Restaurant and food service managers,Unknown,1,1,0631
Ontario,Permanent Resident Only,Ongko Management Inc.,"Mississauga,  ON L5K 1J5",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,Ongko Management Inc.,"Mississauga,  ON L5K 1J5",Cooks,Unknown,1,1,6322
Ontario,Permanent Resident Only,Ontario Best Carrier Inc.,"Bolton,  ON L7E 3B6",Accounting technicians and bookkeepers,Unknown,1,1,1311
Ontario,Permanent Resident Only,Ontario Impex Of Canada Inc.,"Mississauga,  ON L5S 1X7",Web designers and developers,Unknown,1,1,2175
Ontario,Permanent Resident Only,Ontario Rehabilitation Centre Inc.,"Brampton,  ON L7A 0G1",Administrative assistants,Unknown,1,1,1241
Ontario,Permanent Resident Only,Orleans Guac Inc.,"Orléans,  ON K4A 0G4",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,P.Chandra Petroleum Inc.,"Pickering,  ON L1W 1G4",Retail sales supervisors,Unknown,1,1,6211
Ontario,Permanent Resident Only,P.R.I.M.A. Inc.,"Etobicoke,  ON M8W 1N3",Other medical technologists and technicians (except dental health),Unknown,1,1,3219
Ontario,Permanent Resident Only,Paquin 401 Food Services Ltd,"Brockville, , ON K6V 7N4",Restaurant and food service managers,Unknown,1,2,0631
Ontario,Permanent Resident Only,Perri'S Leathers Ltd,"Concord,  ON L4K 4M1","Supervisors, textile, fabric, fur and leather products processing and manufacturing",Unknown,1,1,9217
Ontario,Permanent Resident Only,Phoenix Investigation And Security Services Inc,"Mississauga,  ON L5T 1B6",Human resources and recruitment officers,Unknown,1,1,1223
Ontario,Permanent Resident Only,Physiotherapy Management Services Limited,"Toronto,  ON M4P 1M5",Other technical occupations in therapy and assessment,Unknown,1,1,3237
Ontario,Permanent Resident Only,Pioneer Food Services Limited,"Burlington,  ON L7L 6A5",Food service supervisors,Unknown,4,6,6311
Ontario,Permanent Resident Only,Piri Immigration Inc.,"Brampton,  ON L6T 4L6",Administrative officers,Unknown,1,1,1221
Ontario,Permanent Resident Only,Pita Lite Shawarma,"Toronto,  ON M4P 2X7",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,Pizza Hub Inc.,"Etobicoke,  ON M9W 0B3",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,Popular Tires Sales & Service Inc.,"Mississauga,  ON L5S 1M5",Financial managers,Unknown,1,1,0111
Ontario,Permanent Resident Only,Popular Tires Sales & Service Inc.,"Mississauga,  ON L5S 1M5",Managers in transportation,Unknown,1,1,0731
Ontario,Permanent Resident Only,Port Hope Vape Inc.,"Port Hope,  ON L1A 4B1",Retail sales supervisors,Unknown,2,2,6211
Ontario,Permanent Resident Only,Positive Minds Daycare,"Oakville,  ON L6K 3L6",Early childhood educators and assistants,Unknown,1,1,4214
Ontario,Permanent Resident Only,Pr Homesupplies Inc,"Brampton,  ON L6T 5A2",Retail sales supervisors,Unknown,1,1,6211
Ontario,Permanent Resident Only,Pramukh Petroleum Inc.,"Niagara Falls,  ON L2G 1S1",Retail and wholesale buyers,Unknown,1,1,6222
Ontario,Permanent Resident Only,Precision Inc.,"Mississauga,  ON L5S 1E7",Human resources and recruitment officers,Unknown,1,1,1223
Ontario,Permanent Resident Only,Pride Fleet Solutions Inc.,"Mississauga,  ON L5T 1A6","Supervisors, supply chain, tracking and scheduling co-ordination occupations",Unknown,1,1,1215
Ontario,Permanent Resident Only,Pride Fleet Solutions Inc.,"Mississauga,  ON L5T 1A6",Accounting technicians and bookkeepers,Unknown,1,1,1311
Ontario,Permanent Resident Only,Pride Pak Canada,"Mississauga,  ON L5N 7J6",Administrative officers,Unknown,1,1,1221
Ontario,Permanent Resident Only,Pride Pak Canada,"Mississauga,  ON L5N 7J6","Supervisors, food, beverage and associated products processing",Unknown,1,4,9213
Ontario,Permanent Resident Only,Questenterprise Inc.,"North York,  ON M2M 4K2",College and other vocational instructors,Unknown,1,1,4021
Ontario,Permanent Resident Only,Quicker Foods Inc,"Burlington,  ON L7L 6A5",Food service supervisors,Unknown,3,3,6311
Ontario,Permanent Resident Only,R.N.G. Transport Inc.,"Caledon,  ON L7C 0Z4","Supervisors, supply chain, tracking and scheduling co-ordination occupations",Unknown,1,1,1215
Ontario,Permanent Resident Only,R.S. Bedding Machine International Inc.,"Etobicoke,  ON M9V 5G2","Advertising, marketing and public relations managers",Unknown,1,1,0124
Ontario,Permanent Resident Only,Radha Business Inc,"Brampton,  ON L6Y 0L7",Restaurant and food service managers,Unknown,1,1,0631
Ontario,Permanent Resident Only,Rajshree Corporation,"Tillsonburg,  ON N4G 5K9",Retail sales supervisors,Unknown,1,1,6211
Ontario,Permanent Resident Only,Ravinder Makkar Cpa,"Brampton,  ON L6T 4L9",Accounting technicians and bookkeepers,Unknown,1,1,1311
Ontario,Permanent Resident Only,Realtime Immigration Consultancy Service Inc.,"Brampton,  ON L6W  3W",Administrative assistants,Unknown,1,1,1241
Ontario,Permanent Resident Only,Redberry Caliente Restaurants Lp,"Mississauga,  ON L4W 5L1",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,Redberry Crown Restaurants Lp,"Mississauga,  ON L4W 5L1",Restaurant and food service managers,Unknown,1,1,0631
Ontario,Permanent Resident Only,Redberry Crown Restaurants Lp,"Mississauga,  ON L4W 5L1",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,Renaissancere Services Of Canada Inc.,"Waterloo,  ON N2J 1R1",Statistical officers and related research support occupations,Unknown,1,1,1254
Ontario,Permanent Resident Only,Ripple Effect Foods Inc.,"Orillia,  ON L3V 0E7",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,Ritz Furniture Planet Ltd.,"Mississauga,  ON L4W 1E8","Senior managers - financial, communications and other business services",Unknown,1,1,0013
Ontario,Permanent Resident Only,Rock Star Pizza Company Inc,"Brantford,  ON N3R 2H4",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,Rolly Polly Cow Inc.,"Brampton,  ON L7A 0P1",Food service supervisors,Unknown,2,2,6311
Ontario,Permanent Resident Only,Rowe Beef Co. Ltd,"Mississauga,  ON L4X 2C7","Supervisors, supply chain, tracking and scheduling co-ordination occupations",Unknown,1,1,1215
Ontario,Permanent Resident Only,Royal Steter Ltd,"Niagara Falls,  ON L2G 3N5",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,Rutvi Ltd,"Hamilton,  ON L8P 1E2",Cooks,Unknown,1,1,6322
Ontario,Permanent Resident Only,S M S Logistics Inc.,"Caledon,  ON L7C 3T5","Supervisors, supply chain, tracking and scheduling co-ordination occupations",Unknown,1,1,1215
Ontario,Permanent Resident Only,S M S Logistics Inc.,"Caledon,  ON L7C 3T5",Administrative assistants,Unknown,1,1,1241
Ontario,Permanent Resident Only,S. M. Sandoval Inc.,"Brampton,  ON L6S 5X9",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,Sahara Financial Inc.,"Brampton,  ON L6P 4J6",Administrative assistants,Unknown,1,1,1241
Ontario,Permanent Resident Only,Sai Krishh Inc.,"Woodbridge,  ON L4H 2J2",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,Sai Perfect Accounting Inc.,"Brampton,  ON L6R 0W3",Administrative assistants,Unknown,1,1,1241
Ontario,Permanent Resident Only,Sandhuu Foods Inc.,"Kitchener,  ON N2P 1K8",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,Sanduja Enterprise Inc.,"St.Catharines,  ON L2R 3M6",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,Sarosh Zafar Professional Corporation,"Vaughan,  ON L4K 4M3",Administrative assistants,Unknown,1,1,1241
Ontario,Permanent Resident Only,Scorpiokrush Inc.,"Mississauga,  ON L5V 1N3",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,Sdgeo Enterprise Limited,"Scarborough,  ON M1R 2H3",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,Seeislam Inc,"Windsor,  ON N9E 2M4",Administrative assistants,Unknown,1,1,1241
Ontario,Permanent Resident Only,Shalimar Transport Inc,"Brampton,  ON L6P 1M7",Administrative assistants,Unknown,1,1,1241
Ontario,Permanent Resident Only,Shawarma Empire Ltd,"Toronto,  ON M1R 2Y3",Cooks,Unknown,1,1,6322
Ontario,Permanent Resident Only,Sherwood Innovations Inc,"Toronto,  ON M9W 1N4",Administrative officers,Unknown,1,1,1221
Ontario,Permanent Resident Only,Shivam Transport Inc.,"Brampton,  ON L6X 3C4",Administrative assistants,Unknown,1,1,1241
Ontario,Permanent Resident Only,Shree Narayan Inc.,"Ottawa,  ON K1L 1A9",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,Shree Sairam Corp.,"Napanee,  ON K7R 3L1",Cleaning supervisors,Unknown,1,1,6315
Ontario,Permanent Resident Only,Shreeji182 Inc,"Mississauga,  ON L4T 1A8",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,Shreenathji Food Inc.,"Strathroy,  ON N7G 2P6",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,Shri Ganesh Bboyz Inc.,"Mississauga,  ON L5A 1V9",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,Shrinath Business Inc O/A A&W Restaurant,"Cobourg,  ON K9A 5H7",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,Shuttle Freight Logistics Inc,"Mississauga,  ON L4Z 1N9",Accounting technicians and bookkeepers,Unknown,1,1,1311
Ontario,Permanent Resident Only,Simple Auto Sales & Services L,"Brampton,  ON L6P 2B1",Administrative assistants,Unknown,1,1,1241
Ontario,Permanent Resident Only,Sitara Indian Cuisine,"Sarnia,  ON N7S 1P5",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,Smart Gta Painting Inc.,"Brampton,  ON L6R 3A5",Administrative officers,Unknown,1,1,1221
Ontario,Permanent Resident Only,Smc Hardware Canada Inc.,"Mississauga,  ON L5T 1V9","Supervisors, supply chain, tracking and scheduling co-ordination occupations",Unknown,1,1,1215
Ontario,Permanent Resident Only,Sme Pizza Ontario Ltd.,"Toronto,  ON M2M 3W2",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,Sme Qsr Ltd,"North York,  ON M2H 3N3",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,Softcovision Inc.,"Mississauga,  ON L4T 2C7",Administrative officers,Unknown,1,1,1221
Ontario,Permanent Resident Only,Soul Restaurants Canada Inc,"Toronto,  ON M2N 6K1","Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,1,1,0015
Ontario,Permanent Resident Only,Soul Restaurants Canada Inc,"Toronto,  ON M2N 6K1",Restaurant and food service managers,Unknown,1,1,0631
Ontario,Permanent Resident Only,Sovereign Design And Management Services Inc.,"Mississauga,  ON L4W 1K3",Accounting technicians and bookkeepers,Unknown,1,1,1311
Ontario,Permanent Resident Only,Speedy Immigration Consultancy Inc.,"Brampton,  ON L6X 5A5",Administrative assistants,Unknown,1,1,1241
Ontario,Permanent Resident Only,Sriven Protection Services Ltd,"Newmarket,  ON L3X 1P3",Other services supervisors,Unknown,1,1,6316
Ontario,Permanent Resident Only,St. Louis Bbq And Bar Limited Partnership,"Toronto,  ON M4S 1Z9",Cooks,Unknown,1,1,6322
Ontario,Permanent Resident Only,Staff Depot Inc,"Mississauga,  ON L5T 1J6",Human resources and recruitment officers,Unknown,1,1,1223
Ontario,Permanent Resident Only,Stis Investments Limited,"Burlington,  ON L7L 6A5",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,Subway Shoppers Inc.,"Brampton,  ON L6Y 1N6",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,Sufal Food Inc.,"Toronto,  ON M6G 4A1",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,Sukhwinder Singh Canth( Sukh Tax & Financial Services),"Brampton,  ON L6Y 0N2",Administrative officers,Unknown,1,1,1221
Ontario,Permanent Resident Only,Supertech Signs Ltd.,"Mississauga,  ON L4W 2M4",Retail sales supervisors,Unknown,1,1,6211
Ontario,Permanent Resident Only,Swamibapa Inc.,"Woodbridge,  ON L4H 0S1",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,Synchronium Innovations Inc.,"Toronto,  ON M3B 3M4",Administrative assistants,Unknown,1,1,1241
Ontario,Permanent Resident Only,T Dot Automation Inc,"Guelph,  ON N1G 0E6",Mechanical engineering technologists and technicians,Unknown,1,1,2232
Ontario,Permanent Resident Only,Tadka King Corp.,"Brampton,  ON L6X 1M8",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,Talent Employment Inc,"Toronto,  ON M9L 1S7",Payroll clerks,Unknown,1,1,1432
Ontario,Permanent Resident Only,Talia Enterprises Inc,"Brampton,  ON L6Y 0L8",Food service supervisors,Unknown,2,2,6311
Ontario,Permanent Resident Only,Talisse Enterprises Inc,"Brampton,  ON L6Y 1N6",Food service supervisors,Unknown,2,2,6311
Ontario,Permanent Resident Only,Tandoori Tonight Ltd.,"Barrie,  ON L4N 2B6",Cooks,Unknown,1,1,6322
Ontario,Permanent Resident Only,Tanraj Carrier Inc.,"Brampton,  ON L7A 1G9","Supervisors, supply chain, tracking and scheduling co-ordination occupations",Unknown,1,1,1215
Ontario,Permanent Resident Only,Tanx Transport Inc.,"Caledon,  ON L7C 3S7",Administrative officers,Unknown,1,1,1221
Ontario,Permanent Resident Only,Tdot Immigration,"Kingston,  ON K7K 0E2",Administrative assistants,Corporation,1,1,1241
Ontario,Permanent Resident Only,Team Tenfold - 10422 Inc.,"Bolton,  ON L7E 2B2",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,Team Tenfold - 10565 Inc.,"Vaughan,  ON L4H 3T6",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,Terroni Inc,"Toronto,  ON M6J 1E8",Cooks,Unknown,1,1,6322
Ontario,Permanent Resident Only,Thaifoon Masonville Ltd.,"London,  ON N6G 0R2",Restaurant and food service managers,Unknown,1,1,0631
Ontario,Permanent Resident Only,Thanima Kerala Store,"Mississauga,  ON L4W 1P1",Purchasing agents and officers,Unknown,1,1,1225
Ontario,Permanent Resident Only,The District Municipality Of Muskoka,"Bracebridge,  ON P1L 1N3","Nurse aides, orderlies and patient service associates",Unknown,1,1,3413
Ontario,Permanent Resident Only,The Grand Mehfil Inc.,"Kitchener,  ON N2A 3Z8",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,The Indian Aroma Kitchen Inc.,"St. Catharines,  ON L2M 3J7",Cooks,Unknown,1,1,6322
Ontario,Permanent Resident Only,The Ingersoll Store #1 Ltd.,"Ingersoll,  ON N5C 3J7",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,The Kitching Group (Canada) Inc.,"Kenora,  ON P9N 3P6",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,The Mirco Group Inc.,"Woodbridge,  ON L4L 6B2",Economists and economic policy researchers and analysts,Unknown,1,1,4162
Ontario,Permanent Resident Only,The Royal Edition,"Stouffville,  ON L4A 8B7",Food service supervisors,Unknown,1,1,6311
Ontario,Permanent Resident Only,The Trade Decorators,"Mississauga,  ON L5T 1X6",Printing press operators,Unknown,1,1,7381
Ontario,Permanent Resident Only,The Wave Bar And Lounge Inc.,"Mississauga,  ON L5B 3Y6",Cooks,Unknown,1,1,6322
Ontario,Permanent Resident Only,Thinkventures Technology Corporation,"Mississauga,  ON L4Z 1V9",Administrative assistants,Unknown,1,1,1241
Ontario,Permanent Resident Only,Tim Horton'S,"Collingwood,  ON L9Y 4H8",Food service supervisors,Corporation,1,1,6311
Ontario,Permanent Resident Only,Toronto Community Benefits Network,"North York,  ON M3J 0K2",Graphic designers and illustrators,Unknown,1,1,5241
